test,outcome,row,rowname,prew,postw,c1,c2,c3,c4,c5,c6,c7,matrix_type
T7_sell_nh,sell_nh,2,Post,4,3,-.0108450360137,.0090848990418943,-1.19,.2327,-.0286633022037267,.0069732301763266,8028,pooled
T7_sell_nh,sell_nh,3,pre2,4,3,.0116920602252827,.0090850968854796,1.29,.1983,-.0061247204512449,.0295088409018103,10747,event
T7_sell_nh,sell_nh,4,pre1,4,3,0,,,,,,,event
T7_sell_nh,sell_nh,5,tau0,4,3,.0009465621164415,.0090401573577986,.1,.9166000000000001,-.0167816952948103,.0186748195276932,12078,event
T7_sell_nh,sell_nh,6,tau1,4,3,.0100317678100515,.009756332663261,1.03,.304,-.0091015127995569,.0291650484196599,10721,event
T7_sell_nh,sell_nh,7,tau2,4,3,-.0069726093669642,.0098367600170945,-.71,.4785,-.0262641693475572,.0123189506136288,9460,event
T7_sell_nh,sell_nh,8,tau3,4,3,-.0100996648566328,.0115997416461914,-.87,.384,-.0328496731953101,.0126503434820446,8164,event
T8_hisp_buyers,lnp,1,Pre,4,3,-.0030597242311464,.0172816294127741,-.18,.8595,-.0369528005181468,.030833352055854,8063,pooled
T8_hisp_buyers,lnp,1,pre4,4,3,-.0253985607292946,.0245192092926335,-1.04,.3004,-.073484722409137,.0226876009505477,8236,event
T8_hisp_buyers,lnp,2,Post,4,3,.0467959053639041,.0197301417841297,2.37,.0178,.0080978231358142,.0854939875919939,7863,pooled
T8_hisp_buyers,lnp,2,pre3,4,3,.0159274056725669,.0220055038169732,.72,.4693,-.0272287455746284,.0590835569197622,9394,event
T8_hisp_buyers,lnp,3,pre2,4,3,-.0084250558947876,.0200556750287534,-.42,.6745,-.0477571174957747,.0309070057061995,10554,event
T8_hisp_buyers,lnp,4,pre1,4,3,0,,,,,,,event
T8_hisp_buyers,lnp,5,tau0,4,3,.028672723598141,.0220670079199152,1.3,.194,-.0146027119164531,.0719481591127351,11899,event
T8_hisp_buyers,lnp,6,tau1,4,3,.0084424064141473,.0222741415015668,.38,.7047,-.0352409474123254,.05212576024062,10512,event
T8_hisp_buyers,lnp,7,tau2,4,3,.0732007408544444,.0236696087185135,3.09,.002,.0267795731243103,.1196219085845785,9285,event
T8_hisp_buyers,lnp,8,tau3,4,3,.0573655458031012,.0279356959575118,2.05,.0402,.002575100198897,.1121559914073053,8009,event
T8_incl_investors,lnp,1,pre4,4,3,-.0083859443149216,.0215286997809626,-.39,.6969000000000001,-.0506049797366898,.0338330911068466,8652,event
T8_incl_investors,lnp,1,Pre,4,3,-.0072027241136718,.0158475155683154,-.45,.6495000000000001,-.0382811028218716,.023875654594528,8547,pooled
T8_incl_investors,lnp,2,pre3,4,3,-.0020569769712636,.0194261620542851,-.11,.9157000000000001,-.0401525901514511,.036038636208924,9854,event
T8_incl_investors,lnp,2,Post,4,3,.0661372739037862,.018622785431595,3.55,.0004,.0296138832935329,.1026606645140395,8325,pooled
T8_incl_investors,lnp,3,pre2,4,3,-.0044077359480071,.0205126285204749,-.21,.8299000000000001,-.0446338598039833,.035818387907969,11040,event
T8_incl_investors,lnp,4,pre1,4,3,0,,,,,,,event
T8_incl_investors,lnp,5,tau0,4,3,.0215105292674168,.0193292573373246,1.11,.2659,-.0163944371247709,.0594154956596046,12330,event
T8_incl_investors,lnp,6,tau1,4,3,.0301537004388512,.019305881151086,1.56,.1185,-.0077061610473759,.0680135619250782,11017,event
T8_incl_investors,lnp,7,tau2,4,3,.0785860136028259,.0230515257835076,3.41,.0007,.0333794969077342,.1237925302979177,9730,event
T8_incl_investors,lnp,8,tau3,4,3,.0818342614012055,.0243461884984067,3.36,.0008,.0340866650612464,.1295818577411647,8401,event
