tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72113070100,2006,36,1,0,0
72113070100,2007,34,1,0,0
72113070100,2008,31,1,0,0
72113070100,2009,18,1,0,0
72113070100,2010,19,0,0,0
72113070100,2011,32,0,0,0
72113070100,2012,28,3,2,0
72113070100,2013,15,0,0,0
72113070100,2014,27,0,0,0
72113070100,2015,36,1,1,0
72113070100,2016,31,0,0,0
72113070100,2017,33,0,0,0
72113070100,2018,36,2,1,0
72113070100,2019,28,2,0,0
72113070100,2020,37,2,0,0
72113070100,2021,47,0,0,0
72113070100,2022,46,1,0,0
72113070100,2023,52,4,1,1
72113070100,2024,56,2,0,0
72113070100,2025,39,2,1,0
72113070100,2026,12,1,0,0
72113070201,2000,8,0,0,0
72113070201,2001,10,0,0,0
72113070201,2002,21,0,0,0
72113070201,2003,21,0,0,0
72113070201,2004,23,0,0,0
72113070201,2005,20,0,0,0
72113070201,2006,11,0,0,0
72113070201,2007,13,0,0,0
72113070201,2008,17,0,0,0
72113070201,2009,11,0,0,0
72113070201,2010,8,0,0,0
72113070201,2011,10,0,0,0
72113070201,2012,9,0,0,0
72113070201,2013,13,0,0,0
72113070201,2014,9,1,0,0
72113070201,2015,13,0,0,0
72113070201,2016,17,0,0,0
72113070201,2017,10,0,0,0
72113070201,2018,10,0,0,0
72113070201,2019,10,0,0,0
72113070201,2020,7,0,0,0
72113070201,2021,20,0,0,0
72113070201,2022,28,0,0,0
72113070201,2023,29,1,1,1
72113070201,2024,17,2,0,0
72113070201,2025,27,1,1,1
72113070201,2026,4,1,1,0
72113070202,2000,2,0,0,0
72113070202,2001,2,0,0,0
72113070202,2002,2,0,0,0
72113070202,2003,6,0,0,0
72113070202,2004,9,0,0,0
72113070202,2005,7,0,0,0
72113070202,2006,6,0,0,0
72113070202,2007,2,0,0,0
72113070202,2008,5,0,0,0
72113070202,2010,3,0,0,0
72113070202,2011,4,0,0,0
72113070202,2012,2,0,0,0
72113070202,2013,4,0,0,0
72113070202,2014,6,0,0,0
72113070202,2015,2,0,0,0
72113070202,2016,8,0,0,0
72113070202,2017,1,0,0,0
72113070202,2018,5,0,0,0
72113070202,2019,5,0,0,0
72113070202,2020,4,0,0,0
72113070202,2021,8,0,0,0
72113070202,2022,7,0,0,0
72113070202,2023,6,0,0,0
72113070202,2024,4,0,0,0
72113070202,2025,2,0,0,0
72113070300,2000,4,0,0,0
72113070300,2001,2,0,0,0
72113070300,2002,5,0,0,0
72113070300,2003,8,0,0,0
72113070300,2004,16,0,0,0
72113070300,2005,8,0,0,0
72113070300,2006,6,0,0,0
72113070300,2007,11,0,0,0
72113070300,2008,8,0,0,0
72113070300,2009,5,0,0,0
72113070300,2010,3,0,0,0
72113070300,2011,9,0,0,0
72113070300,2012,14,0,0,0
72113070300,2013,7,0,0,0
72113070300,2014,4,1,0,0
72113070300,2015,9,2,2,0
72113070300,2016,19,0,0,0
72113070300,2017,14,2,0,0
72113070300,2018,4,2,0,0
72113070300,2019,12,1,0,0
72113070300,2020,7,3,0,0
72113070300,2021,18,1,0,0
72113070300,2022,10,2,2,0
72113070300,2023,24,1,1,0
72113070300,2024,15,1,0,0
72113070300,2025,15,3,0,0
72113070300,2026,7,1,0,0
72113070400,2000,2,0,0,0
