tract_geoid,med_hh_inc,med_value,med_rent,poverty,ba_share,renter_share,vacancy,seasonal_share,mainland_share,pop
72127002500,20147.0,138300.0,515.0,0.46255,0.16168,0.58791,0.2991,0.01926,0.0319,1442
72127002600,12592.0,103300.0,502.0,0.55878,0.12715,0.54554,0.20842,0.02641,0.00921,2824
72127002800,14248.0,87200.0,438.0,0.63759,0.07751,0.4535,0.19472,0.0,0.04625,3070
72127002900,10917.0,30300.0,292.0,0.60395,0.04333,0.37159,0.29453,0.0,0.01787,1735
72127003000,16023.0,106400.0,531.0,0.54963,0.07506,0.53683,0.25212,0.01589,0.02641,2045
72127003100,14533.0,114200.0,504.0,0.57121,0.05407,0.56622,0.18419,0.0,0.05251,3352
72127003200,15656.0,125500.0,506.0,0.4433,0.12263,0.53051,0.16267,0.01147,0.02234,2149
72127003300,16250.0,115700.0,551.0,0.41246,0.17522,0.60501,0.16298,0.0,0.00515,1942
72127003400,9701.0,41000.0,301.0,0.58995,0.04187,0.58934,0.06634,0.0,0.01107,2169
72127003501,4541.0,84700.0,147.0,0.85282,0.01985,0.88997,0.0949,0.0,0.01456,4875
72127003502,14028.0,82800.0,325.0,0.48468,0.14306,0.46105,0.31257,0.0,0.03802,1762
72127003600,14032.0,81700.0,432.0,0.48445,0.07121,0.50256,0.1709,0.0,0.02515,1471
72127003702,13018.0,67300.0,400.0,0.61146,0.06333,0.50779,0.16605,0.0,0.02963,5602
72127003800,17014.0,101100.0,491.0,0.46274,0.05371,0.68271,0.1653,0.0274,0.04191,2362
72127003902,14958.0,135600.0,483.0,0.57701,0.23311,0.5135,0.15148,0.00781,0.02027,3897
72127004200,18277.0,84300.0,430.0,0.47212,0.13135,0.50404,0.37302,0.01963,0.02045,2152
72127004306,6215.0,,127.0,0.88977,0.06749,0.99004,0.05155,0.0,0.0483,3520
72127004400,12258.0,96900.0,434.0,0.55367,0.09181,0.38269,0.48614,0.0,0.04693,2003
72127004500,12891.0,88100.0,418.0,0.62587,0.0532,0.3993,0.16277,0.0,0.02331,2746
72127004600,19450.0,77500.0,502.0,0.41209,0.06367,0.30586,0.19099,0.01802,0.05741,3919
72127004700,18728.0,99200.0,485.0,0.44697,0.13093,0.37512,0.13047,0.0,0.02979,6546
72127004800,2499.0,,147.0,0.93669,0.03438,0.9846,0.06732,0.0,0.02717,3055
72127004900,7568.0,94100.0,160.0,0.74788,0.08101,0.74516,0.11817,0.0,0.01475,4136
72127005000,11020.0,110600.0,172.0,0.56228,0.12828,0.53004,0.0786,0.00346,0.02401,5247
72127005101,20652.0,102000.0,575.0,0.39227,0.14109,0.21591,0.15789,0.0,0.02044,2251
72127005102,16961.0,106200.0,494.0,0.58607,0.11067,0.29028,0.11251,0.0,0.0161,2546
72127005103,10727.0,99200.0,313.0,0.62312,0.09872,0.68942,0.11487,0.0,0.0496,4012
72127005201,22668.0,135500.0,644.0,0.21481,0.21317,0.29745,0.10259,0.05279,0.0695,2446
72127005202,24056.0,137400.0,525.0,0.25588,0.13251,0.30387,0.14757,0.01805,0.0452,2677
72127005204,23167.0,149600.0,352.0,0.36975,0.25384,0.2933,0.13839,0.02768,0.05063,2054
72127005214,23150.0,103100.0,227.0,0.40398,0.22524,0.43537,0.26333,0.0,0.02666,4463
72127005215,19541.0,110800.0,311.0,0.40837,0.18714,0.39296,0.09132,0.0,0.03006,2794
72127005300,23250.0,140000.0,619.0,0.31658,0.2734,0.33179,0.11166,0.0,0.03216,3078
72127005402,4750.0,,217.0,0.9294,0.0222,0.98756,0.10446,0.0,0.02373,2360
72127005403,34886.0,168600.0,394.0,0.37997,0.45676,0.39226,0.0933,0.01386,0.07003,5526
72127005405,35586.0,174800.0,445.0,0.23031,0.38064,0.27167,0.09051,0.00766,0.04133,7767
72127005500,23568.0,156900.0,275.0,0.21541,0.24053,0.43087,0.08214,0.0,0.05569,4794
72127005601,26426.0,135000.0,478.0,0.2596,0.3474,0.4154,0.09177,0.0102,0.04378,3312
72127005602,16239.0,119400.0,266.0,0.57796,0.27692,0.53813,0.12211,0.0,0.04687,5227
72127005800,27780.0,150400.0,571.0,0.21441,0.372,0.48448,0.11195,0.0,0.07152,3160
72127005900,21233.0,99100.0,617.0,0.37555,0.17453,0.40382,0.17052,0.0,0.03485,1808
72127006000,12220.0,68300.0,404.0,0.59621,0.07049,0.42887,0.10502,0.0,0.0675,2563
72127006101,10350.0,76200.0,192.0,0.64062,0.15579,0.60722,0.15135,0.00721,0.01675,4418
72127006102,17453.0,159500.0,409.0,0.38485,0.24447,0.58514,0.13055,0.0,0.01368,2632
72127006200,16283.0,96900.0,437.0,0.42755,0.07201,0.43991,0.20018,0.0,0.03954,2251
72127006301,38161.0,204800.0,716.0,0.23272,0.46854,0.33571,0.17542,0.01011,0.05684,5612
72127006500,39792.0,224000.0,600.0,0.06035,0.57687,0.40666,0.25968,0.0132,0.06368,1806
72127006600,15071.0,159800.0,365.0,0.59815,0.30769,0.64412,0.25357,0.02964,0.07064,1727
72127006701,35820.0,231000.0,739.0,0.24269,0.62203,0.38402,0.2076,0.02264,0.04493,4207
72127006800,24856.0,221400.0,483.0,0.21113,0.4708,0.39584,0.16635,0.03119,0.03375,4948
