zip,year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
00705,2007,163,151,12,7,5,14,0.0736196319018405,0.04294478527607362,0.03067484662576687
00705,2008,166,157,9,5,4,5,0.05421686746987952,0.030120481927710843,0.024096385542168676
00705,2009,164,152,12,6,6,16,0.07317073170731707,0.036585365853658534,0.036585365853658534
00705,2010,151,142,9,5,4,15,0.059602649006622516,0.033112582781456956,0.026490066225165563
00705,2011,152,144,8,6,2,11,0.05263157894736842,0.039473684210526314,0.013157894736842105
00705,2012,149,141,8,3,5,10,0.053691275167785234,0.020134228187919462,0.03355704697986577
00705,2013,147,143,4,2,2,6,0.027210884353741496,0.013605442176870748,0.013605442176870748
00705,2014,152,146,6,6,0,8,0.039473684210526314,0.039473684210526314,0.0
00705,2015,154,148,6,2,4,8,0.03896103896103896,0.012987012987012988,0.025974025974025976
00705,2016,152,148,4,3,1,8,0.02631578947368421,0.019736842105263157,0.006578947368421052
00705,2017,151,140,11,5,6,11,0.0728476821192053,0.033112582781456956,0.039735099337748346
00705,2018,142,135,7,4,3,8,0.04929577464788732,0.028169014084507043,0.02112676056338028
00705,2019,143,134,9,6,3,13,0.06293706293706294,0.04195804195804196,0.02097902097902098
00705,2020,138,130,8,4,4,9,0.057971014492753624,0.028985507246376812,0.028985507246376812
00705,2021,131,125,6,5,1,13,0.04580152671755725,0.03816793893129771,0.007633587786259542
00705,2022,134,128,6,4,2,5,0.04477611940298507,0.029850746268656716,0.014925373134328358
00707,2005,82,73,9,7,2,5,0.10975609756097561,0.08536585365853659,0.024390243902439025
00707,2006,72,68,4,1,3,9,0.05555555555555555,0.013888888888888888,0.041666666666666664
00707,2007,69,64,5,4,1,6,0.07246376811594203,0.057971014492753624,0.014492753623188406
00707,2008,72,68,4,3,1,4,0.05555555555555555,0.041666666666666664,0.013888888888888888
00707,2009,69,60,9,5,4,12,0.13043478260869565,0.07246376811594203,0.057971014492753624
00707,2010,61,56,5,1,4,6,0.08196721311475409,0.01639344262295082,0.06557377049180328
00707,2011,60,56,4,2,2,5,0.06666666666666667,0.03333333333333333,0.03333333333333333
00707,2012,60,58,2,0,2,5,0.03333333333333333,0.0,0.03333333333333333
00707,2013,62,58,4,1,3,3,0.06451612903225806,0.016129032258064516,0.04838709677419355
00707,2014,63,60,3,1,2,3,0.047619047619047616,0.015873015873015872,0.031746031746031744
00707,2015,64,60,4,1,3,3,0.0625,0.015625,0.046875
00707,2016,63,61,2,0,2,6,0.031746031746031744,0.0,0.031746031746031744
00707,2017,62,56,6,0,6,6,0.0967741935483871,0.0,0.0967741935483871
00707,2018,61,58,3,2,1,0,0.04918032786885246,0.03278688524590164,0.01639344262295082
00707,2019,55,53,2,0,2,8,0.03636363636363636,0.0,0.03636363636363636
00707,2020,56,51,5,4,1,0,0.08928571428571429,0.07142857142857142,0.017857142857142856
00707,2021,47,45,2,0,2,6,0.0425531914893617,0.0,0.0425531914893617
00707,2022,47,46,1,0,1,3,0.02127659574468085,0.0,0.02127659574468085
00708,2005,2,1,1,1,0,0,0.5,0.5,0.0
00709,2006,1,0,1,1,0,0,1.0,1.0,0.0
00714,2005,117,106,11,6,5,7,0.09401709401709402,0.05128205128205128,0.042735042735042736
00714,2006,117,108,9,4,5,12,0.07692307692307693,0.03418803418803419,0.042735042735042736
00714,2007,130,117,13,10,3,7,0.1,0.07692307692307693,0.023076923076923078
00714,2008,129,116,13,6,7,6,0.10077519379844961,0.046511627906976744,0.05426356589147287
00714,2009,110,101,9,6,3,28,0.08181818181818182,0.05454545454545454,0.02727272727272727
00714,2010,101,95,6,4,2,9,0.0594059405940594,0.039603960396039604,0.019801980198019802
00714,2011,104,94,10,6,4,8,0.09615384615384616,0.057692307692307696,0.038461538461538464
00714,2012,103,95,8,4,4,4,0.07766990291262135,0.038834951456310676,0.038834951456310676
00714,2013,108,102,6,3,3,5,0.05555555555555555,0.027777777777777776,0.027777777777777776
00714,2014,113,104,9,2,7,7,0.07964601769911504,0.017699115044247787,0.061946902654867256
00714,2015,110,101,9,4,5,5,0.08181818181818182,0.03636363636363636,0.045454545454545456
00714,2016,97,89,8,5,3,10,0.08247422680412371,0.05154639175257732,0.030927835051546393
00714,2017,94,86,8,3,5,6,0.0851063829787234,0.031914893617021274,0.05319148936170213
00714,2018,96,92,4,1,3,10,0.041666666666666664,0.010416666666666666,0.03125
00714,2019,97,92,5,1,4,7,0.05154639175257732,0.010309278350515464,0.041237113402061855
00714,2020,91,91,0,0,0,8,0.0,0.0,0.0
00714,2021,99,94,5,3,2,6,0.050505050505050504,0.030303030303030304,0.020202020202020204
00714,2022,97,90,7,3,4,8,0.07216494845360824,0.030927835051546393,0.041237113402061855
00715,2005,36,30,6,5,1,5,0.16666666666666666,0.1388888888888889,0.027777777777777776
00715,2006,37,31,6,5,1,2,0.16216216216216217,0.13513513513513514,0.02702702702702703
00715,2007,35,24,11,10,1,3,0.3142857142857143,0.2857142857142857,0.02857142857142857
00715,2008,31,25,6,6,0,2,0.1935483870967742,0.1935483870967742,0.0
00715,2009,28,19,9,6,3,5,0.32142857142857145,0.21428571428571427,0.10714285714285714
00715,2010,23,22,1,1,0,4,0.043478260869565216,0.043478260869565216,0.0
00715,2011,20,18,2,1,1,4,0.1,0.05,0.05
00715,2012,19,17,2,1,1,2,0.10526315789473684,0.05263157894736842,0.05263157894736842
00715,2013,20,20,0,0,0,1,0.0,0.0,0.0
00715,2014,33,31,2,2,0,0,0.06060606060606061,0.06060606060606061,0.0
00715,2015,35,28,7,6,1,4,0.2,0.17142857142857143,0.02857142857142857
00715,2016,38,34,4,4,0,1,0.10526315789473684,0.10526315789473684,0.0
00715,2017,28,26,2,1,1,6,0.07142857142857142,0.03571428571428571,0.03571428571428571
00715,2018,34,27,7,7,0,0,0.20588235294117646,0.20588235294117646,0.0
00715,2019,32,25,7,7,0,3,0.21875,0.21875,0.0
00715,2020,24,22,2,2,0,2,0.08333333333333333,0.08333333333333333,0.0
00715,2021,27,23,4,4,0,2,0.14814814814814814,0.14814814814814814,0.0
00715,2022,25,22,3,3,0,0,0.12,0.12,0.0
00716,2005,179,149,30,27,3,13,0.16759776536312848,0.15083798882681565,0.01675977653631285
00716,2006,199,169,30,26,4,8,0.1507537688442211,0.1306532663316583,0.020100502512562814
00716,2007,210,166,44,32,12,19,0.20952380952380953,0.1523809523809524,0.05714285714285714
00716,2008,198,182,16,11,5,11,0.08080808080808081,0.05555555555555555,0.025252525252525252
00716,2009,190,171,19,13,6,34,0.1,0.06842105263157895,0.031578947368421054
00716,2010,173,149,24,20,4,16,0.13872832369942195,0.11560693641618497,0.023121387283236993
00716,2011,178,158,20,20,0,11,0.11235955056179775,0.11235955056179775,0.0
00716,2012,185,161,24,16,8,14,0.12972972972972974,0.08648648648648649,0.043243243243243246
00716,2013,192,176,16,16,0,7,0.08333333333333333,0.08333333333333333,0.0
00716,2014,210,186,24,14,10,4,0.11428571428571428,0.06666666666666667,0.047619047619047616
00716,2015,207,184,23,13,10,15,0.1111111111111111,0.06280193236714976,0.04830917874396135
00716,2016,196,180,16,9,7,17,0.08163265306122448,0.04591836734693878,0.03571428571428571
00716,2017,188,171,17,11,6,13,0.09042553191489362,0.05851063829787234,0.031914893617021274
00716,2018,188,162,26,16,10,10,0.13829787234042554,0.0851063829787234,0.05319148936170213
00716,2019,173,165,8,8,0,14,0.046242774566473986,0.046242774566473986,0.0
00716,2020,174,166,8,5,3,11,0.04597701149425287,0.028735632183908046,0.017241379310344827
00716,2021,180,168,12,6,6,8,0.06666666666666667,0.03333333333333333,0.03333333333333333
00716,2022,186,166,20,12,8,11,0.10752688172043011,0.06451612903225806,0.043010752688172046
00717,2005,97,74,23,18,5,15,0.23711340206185566,0.18556701030927836,0.05154639175257732
00717,2006,94,78,16,9,7,7,0.1702127659574468,0.09574468085106383,0.07446808510638298
00717,2007,110,92,18,15,3,11,0.16363636363636364,0.13636363636363635,0.02727272727272727
00717,2008,115,99,16,11,5,4,0.1391304347826087,0.09565217391304348,0.043478260869565216
00717,2009,98,89,9,6,3,19,0.09183673469387756,0.061224489795918366,0.030612244897959183
00717,2010,108,93,15,13,2,5,0.1388888888888889,0.12037037037037036,0.018518518518518517
00717,2011,103,91,12,8,4,10,0.11650485436893204,0.07766990291262135,0.038834951456310676
00717,2012,105,91,14,10,4,6,0.13333333333333333,0.09523809523809523,0.0380952380952381
00717,2013,97,88,9,7,2,5,0.09278350515463918,0.07216494845360824,0.020618556701030927
00717,2014,97,91,6,5,1,7,0.061855670103092786,0.05154639175257732,0.010309278350515464
00717,2015,101,92,9,6,3,5,0.0891089108910891,0.0594059405940594,0.0297029702970297
00717,2016,108,103,5,3,2,8,0.046296296296296294,0.027777777777777776,0.018518518518518517
00717,2017,112,101,11,7,4,5,0.09821428571428571,0.0625,0.03571428571428571
00717,2018,116,102,14,12,2,5,0.1206896551724138,0.10344827586206896,0.017241379310344827
00717,2019,119,109,10,6,4,3,0.08403361344537816,0.05042016806722689,0.03361344537815126
00717,2020,105,89,16,11,5,11,0.1523809523809524,0.10476190476190476,0.047619047619047616
00717,2021,88,82,6,6,0,12,0.06818181818181818,0.06818181818181818,0.0
00717,2022,99,90,9,6,3,5,0.09090909090909091,0.06060606060606061,0.030303030303030304
00718,2005,114,102,12,8,4,11,0.10526315789473684,0.07017543859649122,0.03508771929824561
00718,2006,109,99,10,7,3,16,0.09174311926605505,0.06422018348623854,0.027522935779816515
00718,2007,111,101,10,9,1,8,0.09009009009009009,0.08108108108108109,0.009009009009009009
00718,2008,120,111,9,8,1,5,0.075,0.06666666666666667,0.008333333333333333
00718,2009,117,103,14,8,6,14,0.11965811965811966,0.06837606837606838,0.05128205128205128
00718,2010,110,98,12,9,3,12,0.10909090909090909,0.08181818181818182,0.02727272727272727
00718,2011,113,107,6,1,5,7,0.05309734513274336,0.008849557522123894,0.04424778761061947
00718,2012,125,113,12,9,3,8,0.096,0.072,0.024
00718,2013,124,113,11,7,4,3,0.08870967741935484,0.056451612903225805,0.03225806451612903
00718,2014,130,117,13,9,4,7,0.1,0.06923076923076923,0.03076923076923077
00718,2015,121,108,13,11,2,7,0.10743801652892562,0.09090909090909091,0.01652892561983471
00718,2016,120,111,9,2,7,7,0.075,0.016666666666666666,0.058333333333333334
00718,2017,122,114,8,5,3,8,0.06557377049180328,0.040983606557377046,0.02459016393442623
00718,2018,116,109,7,4,3,8,0.0603448275862069,0.034482758620689655,0.02586206896551724
00718,2019,122,115,7,3,4,4,0.05737704918032787,0.02459016393442623,0.03278688524590164
00718,2020,115,105,10,5,5,8,0.08695652173913043,0.043478260869565216,0.043478260869565216
00718,2021,110,103,7,5,2,6,0.06363636363636363,0.045454545454545456,0.01818181818181818
00718,2022,114,105,9,5,4,2,0.07894736842105263,0.043859649122807015,0.03508771929824561
00719,2005,168,158,10,9,1,18,0.05952380952380952,0.05357142857142857,0.005952380952380952
00719,2006,173,161,12,8,4,11,0.06936416184971098,0.046242774566473986,0.023121387283236993
00719,2007,181,165,16,12,4,7,0.08839779005524862,0.06629834254143646,0.022099447513812154
00719,2008,188,173,15,12,3,12,0.0797872340425532,0.06382978723404255,0.015957446808510637
00719,2009,169,154,15,10,5,28,0.08875739644970414,0.05917159763313609,0.029585798816568046
00719,2010,148,136,12,9,3,24,0.08108108108108109,0.060810810810810814,0.02027027027027027
00719,2011,145,138,7,2,5,10,0.04827586206896552,0.013793103448275862,0.034482758620689655
00719,2012,153,142,11,5,6,9,0.0718954248366013,0.032679738562091505,0.0392156862745098
00719,2013,149,146,3,2,1,13,0.020134228187919462,0.013422818791946308,0.006711409395973154
00719,2014,157,151,6,3,3,13,0.03821656050955414,0.01910828025477707,0.01910828025477707
00719,2015,162,152,10,6,4,5,0.06172839506172839,0.037037037037037035,0.024691358024691357
00719,2016,156,151,5,2,3,10,0.03205128205128205,0.01282051282051282,0.019230769230769232
00719,2017,161,154,7,3,4,4,0.043478260869565216,0.018633540372670808,0.024844720496894408
00719,2018,154,149,5,2,3,6,0.032467532467532464,0.012987012987012988,0.01948051948051948
00719,2019,155,151,4,2,2,7,0.025806451612903226,0.012903225806451613,0.012903225806451613
00719,2020,153,148,5,5,0,14,0.032679738562091505,0.032679738562091505,0.0
00719,2021,155,148,7,5,2,13,0.04516129032258064,0.03225806451612903,0.012903225806451613
00719,2022,156,147,9,7,2,10,0.057692307692307696,0.04487179487179487,0.01282051282051282
00720,2005,129,122,7,5,2,11,0.05426356589147287,0.03875968992248062,0.015503875968992248
00720,2006,123,116,7,2,5,11,0.056910569105691054,0.016260162601626018,0.04065040650406504
00720,2007,130,121,9,6,3,15,0.06923076923076923,0.046153846153846156,0.023076923076923078
00720,2008,131,120,11,10,1,1,0.08396946564885496,0.07633587786259542,0.007633587786259542
00720,2009,117,111,6,4,2,14,0.05128205128205128,0.03418803418803419,0.017094017094017096
00720,2010,106,100,6,4,2,16,0.05660377358490566,0.03773584905660377,0.018867924528301886
00720,2011,110,104,6,2,4,3,0.05454545454545454,0.01818181818181818,0.03636363636363636
00720,2012,117,109,8,6,2,4,0.06837606837606838,0.05128205128205128,0.017094017094017096
00720,2013,117,117,0,0,0,7,0.0,0.0,0.0
00720,2014,126,121,5,3,2,4,0.03968253968253968,0.023809523809523808,0.015873015873015872
00720,2015,124,118,6,3,3,4,0.04838709677419355,0.024193548387096774,0.024193548387096774
00720,2016,124,119,5,3,2,7,0.04032258064516129,0.024193548387096774,0.016129032258064516
00720,2017,118,111,7,4,3,7,0.059322033898305086,0.03389830508474576,0.025423728813559324
00720,2018,115,104,11,3,8,3,0.09565217391304348,0.02608695652173913,0.06956521739130435
00720,2019,106,104,2,2,0,5,0.018867924528301886,0.018867924528301886,0.0
00720,2020,101,95,6,3,3,11,0.0594059405940594,0.0297029702970297,0.0297029702970297
00720,2021,104,99,5,2,3,5,0.04807692307692308,0.019230769230769232,0.028846153846153848
00720,2022,111,107,4,3,1,6,0.036036036036036036,0.02702702702702703,0.009009009009009009
00721,2005,19,16,3,3,0,3,0.15789473684210525,0.15789473684210525,0.0
00721,2006,20,16,4,4,0,0,0.2,0.2,0.0
00721,2007,20,16,4,3,1,3,0.2,0.15,0.05
00721,2008,26,17,9,8,1,0,0.34615384615384615,0.3076923076923077,0.038461538461538464
00721,2009,18,15,3,2,1,1,0.16666666666666666,0.1111111111111111,0.05555555555555555
00721,2010,17,16,1,0,1,0,0.058823529411764705,0.0,0.058823529411764705
00721,2011,17,13,4,4,0,1,0.23529411764705882,0.23529411764705882,0.0
00721,2012,16,15,1,1,0,0,0.0625,0.0625,0.0
00721,2013,15,14,1,1,0,1,0.06666666666666667,0.06666666666666667,0.0
00721,2014,16,16,0,0,0,1,0.0,0.0,0.0
00721,2015,17,15,2,2,0,0,0.11764705882352941,0.11764705882352941,0.0
00721,2016,15,15,0,0,0,1,0.0,0.0,0.0
00721,2017,13,12,1,1,0,2,0.07692307692307693,0.07692307692307693,0.0
00721,2018,15,12,3,3,0,0,0.2,0.2,0.0
00721,2019,19,18,1,0,1,1,0.05263157894736842,0.0,0.05263157894736842
00721,2020,16,16,0,0,0,2,0.0,0.0,0.0
00721,2021,14,12,2,2,0,2,0.14285714285714285,0.14285714285714285,0.0
