mail_address,parcels,value,n_entities,entities
HC 3 BOX 14989 PR 00783,14,1201100,5,FAF ADVANCE GROUP | FAF ADVANCE GROUP L | FAF ADVANCE GROUP LL | FAF ADVANCE GROUP LLC | FAF ADVENCE GROUP LLC
PO BOX 9746 PR 00908 0746,14,1655019,3,NEXT CAPITAL GROUP L | PAVIA PROPERTIES LLC | T J LLC
LA SIERRA DEL RIO A3 CALLE 9 PR 00957 1635,14,2490600,3,TRINITY RRA PROPERTIES | TRINITY RRA PROPERTIES LLC | TRINITY RRAPROPERTIES LLC
URB MONTEHIEDRA CALLE PITIRRE 100 PR ESTADOS UNIDOS 00926 7100,14,10188724,4,BENTON INVESTMENT INC | BENTOR INVESTMENT I | BENTOR INVESTMENT IN | RENTOR INVESTMENT AN
COND ALTOS REALES 354 VIA SANTA CATALINA PR PUERTO RICO 00969,14,3005191,4,BANCO SANTANDER | BANCO SANTANDER DE | BANCO SANTANDER DE P | BANCO SANTANDER PR
PO BOX 3127 PR 00681 3127,14,1493038,6,FIFTHSOME INV CORP | FIFTHSOME INVESTMENT | FIFTHSOME INVESTMENT CORP | FIFTHSOME INVESTMENT CORPORATION | FITHSOME INVESTMENTS | FITTHSOME INVESTMENT
PO BOX 364603 PR 00936 4603,14,12759900,3,OLDACH ASSOCIATES S | OLDACH ASSOCIATES S E | OLDACH ASSOCIATES SE
PO BOX 190120 PR PUERTO RICO 00919 0120,14,88800012,4,CLPG REXCO LLC | CLPG RREXCO LLC | CLPG SJIP 1 LLC | CLPG SJIP 2 LLC
MANSIONES DE VISTARMAR MARINA MARBELLA 119 PR 00979,14,2197001,5,ALTAMESA 1432 LLC | NICE REALTY | NICE REALTY GROUP L | NICE REALTY GROUP LL | NICE REALTY GROUP LLC
1510 FD ROOSEVELT TRIPLE S PLAZA SUITE 11 2B PR PUERTO RICO 00968,14,69744000,2,IGD PROPERLIES CORP | IGD PROPERTIES CORP
PO BOX 25247 PR PR 00926,14,5417143,4,SABRI BUY TSAREK REALTY LLC | SABRI TAREK REALTY LLC | SABRI Y TAREK REALTY LLC | SABRI Y TAREK REALY LLC
STE 302 322 AVE DE DIEGO PR 00920 2252,14,6981000,4,CARRION COURT DEVELOPMENT LLC | PR CR INVESTMENT COR | PUERTO RICO HOLDINGS | PUERTO RICO HOLDINGS LLC
APT 801 558 CALLE CUEVILLAS PR ESTADOS UNIDOS 00907 2552,14,1912300,7,M J D PROPERTIES LLC | MID PROPERTIES LLC | MJD PROPERTIES | MJD PROPERTIES LLC | SANA INVESTMENT | SANA INVESTMENT LLC | SARA INVESTMENT LLC
PO BOX 195452 PR PUERTO RICO 00919 0441,14,2628930,3,PLAZ 65 LLC | PLAZA 6 LLC | PLAZA 65 LLC
PO BOX 16235 PR 00908 6235,14,5329000,2,NHBC C LLC | NHBC PROPERTIES LLC
PO BOX 11910 PR PUERTO RICO 00922 1910,14,22556543,7,BELA ENTERPRISES LLC | BELA ENTERPRISES S E | BELA LIVINA LLC | BELA LIVING LLC | CPH LAGOON LLC | MRJ LLC | READY TO LIVE LLC
649 AVE SAN PATRICIO PR 00920 4506,14,2542425,5,S P PROPERTIES | SP PROPERTIES | SP PROPERTIES INC | SP PROPERTIES LLC | SP ROPERTIES INC
221 PLAZA SUITE 402 PR PUERTO RICO 00918,14,5875000,2,FIMR REALTY INC | FTMR REALTY INC
1550 AVE PONCE DE LEON BUZON ADMINISTRACI N PR PR 00909 1762,14,3718311,2,TRIUM REALTY LLC | TRUIM REALTY LLC
PO BOX 426 PR 00960 0426,14,7340000,5,TOUCHVISION 100 LLC | TOUCHVISION 200 LLC | TOUCHVISION 300 LLC | TOUCHVISION 600 LLC | TOUCHVISION 900 LLC
