tract_geoid,zcta,share_of_tract_land,is_dominant_zcta,arealand_part,areawater_part,arealand_tract
72063210201,00778,1.0,True,9339808,148279,9339808
72063210203,00778,1.0,True,3759878,15514,3759878
72063210204,00778,1.0,True,7567407,34545,7567407
72063210300,00778,1.0,True,560044,8308,560044
72063210400,00778,1.0,True,1487560,0,1487560
72063210503,00778,1.0,True,2179537,26355,2179537
72063210504,00777,0.002,False,28586,0,14262819
72063210504,00778,0.998,True,14234233,6894,14262819
72063210505,00778,1.0,True,7844855,278386,7844855
72063210506,00778,1.0,True,2232902,63197,2232902
72063210507,00778,1.0,True,1441527,6633,1441527
72065310100,00659,1.0,True,11382780,1783941,11382780
72065310200,00659,1.0,True,3629767,1183620,3629767
72065310300,00659,1.0,True,9647411,692,9647411
72065310400,00612,0.0193,False,436783,0,22630189
72065310400,00659,0.9807,True,22193406,31673,22630189
72065310500,00612,0.0598,False,1265925,3187,21173341
72065310500,00659,0.9402,True,19907416,41007,21173341
72065310600,00612,0.0041,False,161794,0,39737167
72065310600,00659,0.9959,True,39575373,5796,39737167
72065990016,,,False,0,40938822,0
72067820101,00660,1.0,True,7592418,0,7592418
72067820102,00660,1.0,True,4073412,190,4073412
72067820300,00660,1.0,True,15114769,291,15114769
72067820400,00660,1.0,True,1852622,0,1852622
72067820500,00660,0.9063,True,681275,0,751671
72067820500,00682,0.0937,False,70396,0,751671
72069180100,00741,0.8596,True,5896296,2792488,6859078
72069180100,00791,0.1404,False,962782,0,6859078
72069180201,00791,1.0,True,24143080,3011,24143080
72069180202,00791,1.0,True,11949157,0,11949157
72069180301,00771,0.1774,False,894394,0,5041044
72069180301,00791,0.8226,True,4146650,0,5041044
72069180302,00791,1.0,True,10798426,740,10798426
72069180400,00791,1.0,True,4826254,499,4826254
72069180500,00791,1.0,True,10407473,1745816,10407473
72069180600,00791,1.0,True,2380685,19956,2380685
